subject,verb,object
deputado federal daniel vilela pmdb-go,negar receber,tipo de quantia em caixa dois de empreiteiro odebrecht
deputado federal danilo forte ce,pedir,desfiliação de psb.
deputado federal de estado,pedir sugerir,construção de campo de refugiado
deputado federal de mdb com mandato,receber,verba de um milhão meio de fundão eleitoral dois milhões
deputado federal de paraná,receber,propina de jbs
deputado federal francisco floriano dem rj,levar além,mulher marcinho vp
deputado federal fábio faria psd- rn,tentar anular,parte de delação de executivo de j&f.
deputado federal jair bolsonaro rj,oferecer,vaga de candidato a vice presidente em chapa
deputado federal jandira feghali pcdob-rj relator de lei,suceder,brant
deputado federal jerônimo goergen pp-rs,apresentar,projeto tentar
deputado federal lúcio vieira lima,não deixar,mdb
deputado federal major olimpio sd-sp,fazer,protesto
deputado federal major olímpio sd-sp,publicar,mensagem
deputado federal maria de rosário pt-rs,prestar,depoimento
deputado federal maria de rosário pt-rs ex ministra de secretaria de direito humano de presidência de república,ter,carro
deputado federal mineiro,criticar,presidenciável geraldo alckmin
deputado federal miro teixeira rede,afirmar desconhecer,tipo de irregularidade
deputado federal nilton capixaba,receber,decisão de segundo turma de supremo tribunal federal
deputado federal onyx lorenzoni dem -rs relator em câmara de projeto,confirmar,recebimento de caixa 2 de jbs
deputado federal orlando silva pcdob-sp,acionar,conselho nacional de justiça cnj
deputado federal paulo maluf pp,cumprir,pena
deputado federal paulo teixeira pt,prestar,depoimento
deputado federal por cinco mandato consecutivo entre 1991,receber,r$ 690 mil
deputado federal ricardo barro pp,já ter,ideia em mente
deputado federal rodrigo rocha loures pmdb-pr,receber,mala
deputado federal rogério rosso psd-df,também receber,dinheiro desviado de obra
deputado federal sergio zveiter pmdb-rj,pedir,desfiliação de pmdb.
deputado federal washington reis mdb,apresentar,proposta de emenda a constituição pec
deputado federal wladimir costa sd- pa,estourar,rojão de confete
deputado flagrado,criticar,tarado
deputado fluminense,acusar,aliado próximo de presidente de república
deputado fluminense,lamentar,ataque a judiciário
deputado francisco floriano dem rj,apresentar,projeto
deputado francisco floriano dem rj,ir além propor além,reclusão de dois a seis ano
deputado gilmar fabris,ter constitucionalmente,mesmo prerrogativa que senador
deputado gilmar fabris psd,ter,mesmo prerrogativa de função
deputado glauber braga psol rj,rechaçar,tese premeditar
deputado goiano,substituir,deputado bruno araújo psdb-pe
deputado henrique fontana pt-rs,defender,realização de novo eleição
deputado heráclito forte pi,receber,justo causa de psb
deputado inconformado com protesto de agente,pedir,exclusão de benefício de relatório final
deputado jair bolsonaro,anunciar,filiação
deputado jair bolsonaro,apoiar,proposta
deputado jair bolsonaro,já definir,lema
deputado jair bolsonaro psc- rj,chamar categorizar,atividade
deputado jair bolsonaro psc- rj,cometer,racismo
deputado jair bolsonaro psc- rj,publicar,vídeo
deputado jair bolsonaro psl- rj pré candidato a presidência,diante fazer,apologia a uso de armamento de fogo por civil
deputado jair bolsonaro rj pré candidato a presidência por psl,já feito,quatro saudação
deputado jarba vasconcelos pmdb-pe,já ganhar,apelido de viagra
deputado jean wyllys,também ter,ideia
deputado jean wyllys psol rj,enfrentar,segundo processo
deputado jorginho mello pr-sc,pedir,proteção divino
deputado josé prianti pa,questionar,direção de partido sobre necessidade votar
deputado jovair arantes ptb- go,além disputar atualmente,corrida por presidência de câmara
deputado jovair arantes ptb- go,disputar,presidência de câmara
deputado joão marcelo souza pmdb-ma relator de processo,apresentar,voto por arquivamento de representação
deputado joão marcelo souza pmdb-ma relator de processo por quebra de decoro parlamentar,apresentar,voto por arquivamento de representação
deputado joão rodrigues psd-sc,fazer,discurso inflamado contra performance
deputado julio delgado,fazer,barulho
deputado júlio delgado psb-mg,fazer,sugestão de mudança em parecer de relator sérgio zveiter pmdb-rj
deputado júlio delgado psb-mg,pedir,tempo analisar
deputado laerte bessa pr-df relator de primeiro caso,apresentar,parecer por prosseguimento de processo
deputado lelo coimbra pmdb-es por exemplo,ganhar,força novo líder de governo em câmara
deputado leo de brito pt-ac,contudo pedir,aditamento a representação
deputado luiza erundina psol-sp,destacar,importância de data resgatar
deputado léo de brito pt-ac,questionar,fato apresentar
deputado lúcio vieira lima pmdb-ba,além também enfrentar,processo em conselho de ética de câmara de deputado
deputado lúcio vieira lima pmdb-ba,deixar,grupo de whatsapp
deputado major olímpio sd-sp,criticar,trocas
deputado major olímpio sd-sp,incluir,foto de gilmar mendes como padrinho de casamento de filho de jacob barato
deputado major olímpio sd-sp,usar,rede social
deputado marcelo squassoni prb-sp,além disputar,vaga
deputado marco antônio cabral,ir visitar,pais
deputado marco feliciano psc-sp,considerar,cena revoltante
deputado marco maia,indiciar pedir,investigação de 20 empresa a cade
deputado marcus pestana psdb-mg,apresentar,projeto de decreto legislativo
deputado marcus pestana psdb-mg,defender,destituição
deputado maria de rosário pt-rs,além deixar,sessão de votação
deputado mario de rosário,prestar,depoimento
deputado mauro pereira pmdb-rs,fazer,levantamento
deputado nelson marquezelli ptb-sp,adiar,sessão
deputado nilto tatto pt-sp,classificar,cpi
deputado paulinho de força sd-sp,receber,r$ 1 milhão
deputado paulo maluf,ocupar ter,prazo de 30 dia desocupar
deputado paulo maluf pp-sp,usar,conta
deputado paulo melo,divulgar,nota
deputado paulo melo,informar,melhora de filho
deputado paulo pimenta pt-rs,terminar,discurso
deputado pedro fernande ptb- ma,também dizer considerar discutir,extensão de foro privilegiado
deputado por exemplo,perder,prerrogativa julgar em instância superiores..
deputado presente em sessão,como votar conferir,opinião de parlamentar
deputado presidiário,ainda não enfrentar haver,expectativa ingressem com representação em colegiado
deputado preso,ter querer votar,prisão
deputado rafael picciani filho de picciani último votar,surpreender,próprio presidente de ccj
deputado raimundo cutrim,voltar fazer,novo críticas a forma
deputado robinson almeida pt-ba,informar acionar,procuradoria geral de república
deputado rocha loures,mostrar,prévia de mp de refis
deputado rocha loures,receber,mala
deputado rodrigo maia dem rj,confirmar,candidatura a reeleição
deputado roger torrent de partido esquerra republicano de cataluya erc,obter,65 voto
deputado ronaldo nogueira ptb-rs,deixar,pasta..
deputado sérgio zveiter,aproveitar,férias
deputado tobias ellwood de partido conservador,tentar salvar,vida de policial
deputado tucano,liderar,movimento para candidatura de doria a governo de sp.
deputado tucano rogério marinho psdb-rn,age diferente assumir,missão de palácio de planalto
deputado vander loubet,cometer,crime
deputado vander loubet pt-ms,cometer,crime
deputado vander loubet pt-mt,cometer,crime de falsidade ideológico eleitoral
deputado wadih damous pt-rj,elogiar,parecer
deputado wadih damous pt-rj,também cobrar,esclarecimento sobre desaparecido político durante ditadura
deputado wasny de roure pt,também engrossar,coro
deputado wladimir costa sd- pa,quebrar,decoro parlamentar
deputado wladimir costa sd- pa um de principal aliado de temer,provocar,parlamentar de pt
deputado zé nunes pt,antes levar,cartaz
depósito,superar,saque em caderneta de poupança
deracre,fazer,intervenção provisório duplo
derivativo,prever,margem seguro de flutuação de cotação
dermatite de letícia,ter não ter,cura
dermatologista,então indicar,fototerapia
derramamento,colocar,ecossistema
derretimento de material,afetar,48 estado americano
derrubada de decisão de supremo de forma,representar,impunidade
derrubada de f-16,levar,suspeita antigo a observar de braço cruzado
derrubada de jato israelense,elevar,tensão entre dois país
desabastecimento de água,afetar ainda,20 % de bairro de capital
desaceleração de economia chileno,influenciar,aceitação
desafiador temer,dizer cedo condenar,ex ministro antonio palocci pt
desafiante de chefe de kremlin em eleição,ter,coisa em comum
desafio,preencher,vácuo
desafio,tomar,decisão deixar até próximo terça
desafio contabilizar em folha,ainda existir haver,limitação de ferramenta fazer
desafio de geração,não ser justamente tornar,transmissão com lugar a invenção
desafio desse processo,incluir convencer,comunidade local
desaparecimento,provocar,grande debate público
desaparecimento de botijão de gás,também motivar,desconfiança
desaparecimento de estudante de psicologia bruno borge de 24 ano,inspirar,criação de jogo para smartphone
desaparecimento de estudante de psicologia bruno borge de 25 ano,completar,um mês
desaparecimento de estudante priscilo brenda martins de silva,completar,cinco ano
desaparecimento de jovem,inspirar,criação de jogo para smartphone
desaparecimento de luís felipe de santo machado de 2 ano,completar,um mês
desaprovação a guerrilha,historicamente afundar,pretensão de candidato conservador
desaprovação de presidenciáveis,dividir,lanterna
desastre,causar poluir,rio doce
desastre,matar ainda poluir,rio doce um de importante de mina geral
desastre,mudar,paisagem de povoado
desastre ambiental,eliminar,predador de mosquito
desastre ambiental,marcar,1º dia de fórum mundial de água
descarga elétrico,deflagar involuntariamente,airbag de motorista
descarte incorreto,ameaçar caminhar só receber,lixo
descaso de concessionário com patrimônio público,ocasionar,grave prejuízo
descendente,ainda apresentar,original de certidão de nascimento
descendente,requisitar,direito
descendente de judeu sefardito,também obter,nacionalidade..
descendente de pai luso,ter agora,direito aberto a neto
descendente de sefarditas judeu,também ter,processo
descendente direto de pai luso,ter,direito
descoberta,além ajudar,cientista
descoberta,dar,pista avançar em busca por prevenção de demência
descoberta,influenciar,estudo sobre possibilidade de presença de vida microbiótico em planeta parecido com terra em sistema solar
descoberta,mostrar,importância de colaboração científico internacional
descoberta,reforçar,hipótese de oceano em lua de saturno
descoberta,ser também dar,informação sobre processo de formação de elemento químico
descoberta,ter,importância enorme
descobertas sobre gelo,ter,modelo
descompasso nesse mecanismo,ter,impacto sobre organismo
descomplica sp,oferecer,350 serviço de administração municipal
desconfiado pai,acionar,polícia
desconfiança,imperar sofrer,1 denúncia de homem
desconfiança,levar,pessoa
desconfiança em torno de modelo de negócio de empresa,puxar,chamado big tech
desconfiança em torno de modelo de negócio de empresa,puxar,desempenho de empresa de tecnologia como alphabet google
desconforto,encontrar,eco
desconforto contemporâneo,ter,efeito como aumento em caso de depressão
desconhecido,atacar,propriedade de família
desconhecido,atingir feito,ameaça
desconto de previdência,totalizar,r$ 27 mil
descontrole de sargento de corpo de bombeiro,ter,resultado de extremo estresse
descrente com justiça solange,lamentar não conseguir proporcionar,atendimento psicológico
descuido,ocorrer,fatalidade
descumprimento,acarretar,imediato rescisão
descumprimento de contrato,explicar,atrasos..
descumprimento de liminar de supremo como em caso de senado,ensejar,crime de desobediência
descumprimento de restrição,gerar,multa penalidade previsto em código de trânsito brasileiro
descumprimento desta proibição,constituir,"infração de trânsito previsto em artigo 187 de código de trânsito brasileiro ctb punível com multa de r$ 130,16"
desdobramento,existir ter agora,votação em supremo
desdobramento de caso,levar inviabilizar,projeto de reeleição de temer
desdobramento de lava jato,encontrar,irregularidade em sistema de bilhetagem
desdobramento de lava jato,encontrar,irregularidade em sistema de bilhetagem de ônibus
desdobramento de lava jato,investigar alvo..,sobrepreço de r$ 77 milhões em construção de arena de duna
desdobramento de lava jato operação manu referência a provérbio latino manus,investigar,corrupção ativo
desdobramento de prisão desta quinta feira,inviabilizar,projeto de reeleição
desdobramento recente,implicar diretamente,oito ministro de governo michel temer
desejo,era ainda ter,longo caminho
desejo,ter,motivação pessoal
desembargador,aceitar,recurso
desembargador,aceitar,recurso de correição parcial de defesa de ex presidente luiz inácio lula de silva
desembargador,aceitar,recurso de mpf.
desembargador,ainda aumentar,pena
desembargador,ainda não apreciar,embargo de declaração de defesa
desembargador,além aumentar,pena de 9 ano de prisão
desembargador,analisar,pedido de prisão de deputado estadual por pmdb jorge picciani
desembargador,analisar ainda decidir manter condenar,4 réu
desembargador,aumentar,pena
desembargador,aumentar,pena de tesoureiro de pt.
desembargador,aumentar mater reduzir absolver,réu
desembargador,avaliar,caso
desembargador,cometer,incitação a homicídio
desembargador,completar,voto
desembargador,considerar,liminar
desembargador,considerar determinar,retorno imediato de função
desembargador,convocar,pleno de trf de 1 região
desembargador,decidir aumentar,pena de ex presidente
desembargador,destacar,prova
desembargador,determinar,execução de pena
desembargador,fazer,brincadeira jocoso
desembargador,fixar,multa de r$ 100 mil
desembargador,ler,penas 9 ano
desembargador,modificar anular,julgamento
desembargador,negar,pedido de habeas corpus
desembargador,pedir,vista de ação contra governador
desembargador,postar também,informação falso sobre vereador marielle franco relacionando-a com criminoso
desembargador,rejeitar,acordo
desembargador,rejeitar,sentença de moro
desembargador,também determinar,prisão de azeredo
desembargador,vir fazer,afirmação criminoso
desembargador abel gomes,fundamentar não só,transferência
desembargador abel gomes,negar,pedido de liminar
desembargador abel gomes,suspender,leilão
desembargador carmecy rosa maria de oliveira,também negar,pedido de habeas corpus
desembargador de 10. câmara criminal,confirmar,decisão de primeiro instância
desembargador de 2 instância,decidir aumentar,pena de lula
desembargador de 2 instância,negar manter,primeiro resultado
desembargador de 8 turma,porém manter,condenação
desembargador de 8 turma de trf4,aumentar manter,penas
desembargador de 8 turma de tribunal,já negar,desbloqueio
desembargador de 8 turma de tribunal regional federal de 4 região trf-4,rejeitar,recurso de defesa de ex ministro josé dirceu
desembargador de 8 turma de tribunal regional federal de 4 região trf-4 em porto alegre,negar,recurso de fazenda nacional
desembargador de 8 turma de tribunal regional federal de 4 região trf4,negar,pedido de defesa de esposo de ex presidente luiz inácio lula de silva marisa letício
desembargador de 8. turma de corte de apelação de operação lava jato,negar,recurso decisivo de petista
desembargador de conselho especial de tj waldir leoncio,apontar estabelecer,multa diário de r$ 100 mil
desembargador de corte,ainda aumentar,pena de petista de 9 ano para 12 ano de prisão em regime fechado
desembargador de corte,julgar,recurso
desembargador de trf-1,determinar,uso de tornozeleira eletrônico para monitoramento
desembargador de trf-4,determinar,prisão
desembargador de trf-4,rasgar,constituição
desembargador de trf4,negar,recurso de defesa
desembargador de tribunal,decidir manter,representante de legenda
desembargador de tribunal,receber,ameaça
desembargador de tribunal de justiça de cear mario iracema martins de vale,também ter,nome
desembargador de tribunal regional federal de 4 região trf-4,determinar,sequestro de bem de filho
desembargador de tribunal regional federal de 4 região trf-4,negar,recurso de engenheiro zwi skornicki
desembargador de tribunal regional federal de 4 região trf-4 em porto alegre,julgar,recurso de lula em processo de triplex
desembargador de tribunal regional federal de 4. região trf-4,fazer,provocação brincadeira jocoso
desembargador de órgão especial de tribunal de justiça de mina geral tjmg,rejeitar,pedido de desmembramento de investigação contra vereador wellington magalhães podemos de câmara municipal de belo horizonte
desembargador edson ulisses de tribunal de justiça de sergipe,conceder,habeas corpus
desembargador eleitoral karina albuquerque,apontar,irregularidade em prestação de conta como apresentação de recibo eleitoral sem dado de doador
desembargador em questão marilia castro neve,publicar,informação falso engajar com bandido
desembargador esdras neves,também acompanhar,relator
desembargador federal abel gomes,determinar ontem,prorrogação de prisão temporário por cinco dia de felipe picciani filho de jorge picciani
desembargador federal abel gomes relator de processo de força tarefa lava jato em rio em tribunal regional federal trf2,ordenar,condução coercitivo de parlamentar
desembargador federal joão pedro gebran neto relator de processo de operação lava jato em tribunal,já negar,recurso
desembargador federal joão pedro gebran neto relator de processo de operação lava jato em tribunal,negar,recurso
desembargador federal leandro paulsen,pedir,tempo pensar a respeito..
desembargador federal leandro paulsen,pedir adiar,julgamento de processo
desembargador federal leandro paulsen revisor de processo de lava jato em tribunal regional federal de 4 região trf4 em porto alegre,pedir adiar,julgamento de pedido de fazenda nacional
desembargador federal olindo menezes de tribunal regional federal de 1 região trf-1 com sede em brasília,suspender,bloqueio de parte de bem de irmão joesley sócio de j&f controlador de frigorífico jbs.
desembargador federal victor laus,aguardar,pedido de vista
desembargador felix fischer de superior tribunal de justiça stj,negar,pedido de habeas corpus
desembargador gebran neto,acolher mandar refazer,depoimento de empresário
desembargador hilton queiroz,considerar,situação particular
desembargador hilton queiroz,já determinar,suspensão de efeito de sentença de primeiro instância ainda de mérito sobre caso
desembargador isabel cogan,conceder,liminar de tutela
desembargador josé marco lunardelli,conceder,habeas corpus
desembargador josé marco lunardelli de tribunal regional federal de 3 região trf-3,mandar soltar imediatamente,battisti
desembargador josé maurício pinto de almeida de tj- pr,cassar,liminar
desembargador joão batista damasceno,aceitar,pedido
desembargador joão pedro gebran neto,autorizar,inclusão de conselho federal de ordem de advogado de brasil oab
desembargador joão pedro gebran neto,fazer,resumo de caso
desembargador joão pedro gebran neto,rejeitar,recurso de lula
desembargador joão pedro gebran neto relator,aumentar,condenação de ex presidente por corrupção para 12 ano de prisão em regime fechado
desembargador joão pedro gebran neto relator de lava jato em trf-4,pedir,aumento de pena de cunha para 18 ano de prisão
desembargador joão pedro gebran neto relator de processo de lava jato em segundo instância,rejeitar,quatro petição
desembargador leandro paulsen,abrir pontualmente,sessão
desembargador leandro paulsen,acompanhar,relator
desembargador leandro paulsen,já manter excluir propor,diminuição de pena para 14 ano
desembargador leandro paulsen,logo abrir,sessão
desembargador leandro paulsen revisor,acompanhar também dar,12 ano de prisão em regime fechado
desembargador leandro paulsen revisor de lava jato em corte,além fazer,parte de 8. turma
desembargador marília castro neves de tribunal de justiça de rio de janeiro,publicar,comentário
desembargador marília castro neves de tribunal de justiça de rio de janeiro,também publicar,comentário
desembargador marílio castro neve,ridicularizar,fato professor em brasil
desembargador micheline,pedir,vista de auto
desembargador mãe de breno,não trocar,palavra
desembargador ney bello de tribunal regional federal de 1 região trf-1,autorizar,ex ministro
desembargador ney bello de tribunal regional federal de 1 região trf-1,autorizar,ex ministro geddel vieira lima
desembargador ney bello de tribunal regional federal de 1 região trf-1,defender,medida
desembargador ney bello de tribunal regional federal de 1 região trf-1 em brasília,revogar,ordem de prisão preventivo de ex presidente de bny mellon josé carlo lopes xavier de oliveira
desembargador norival santomé de 6 câmara cível de goiânia,determinar,suspensão de greve de professor de rede municipal de educação de capital
desembargador néviton guede de tribunal regional federal de primeiro região trf-1,atender suspender,depoimento de ex presidente luiz inácio lula de silva
desembargador orlando perri de tribunal de justiça de mato grosso tjmt,não ouvir acerca,mpe
desembargador relator,fazer,leitura de resumo de voto
desembargador romero marcelo relator,afirmar,improcedência
desembargador romero marcelo relator de ação de investigação judicial eleitoral aije de pbprev,afirmar,improcedência
desembargador sebastião ribeiro martim de 1 câmara criminal de teresina,negar,recurso
desembargador susano casteneda,visitar,força tarefa de operação lavo jato
desembargador trf-4,julgar,recurso de lula
desembargador victor laus,dizer não estar decidir pedir,vista
desembargador victor luiz de santo lau,acompanhar,voto de dois magistrado de 8 turma de tribunal regional federal de 4 região..
desembargador waldir leoncio,afirmar ver,manifesto transgressão a norma
desempenho,ajudar,governo
desempenho,garantir,2º lugar
desempenho,mostrar,dificuldade reduzir
desempenho,refletir,recessão
desempregado,doar ganhar,direito a dinheiro de volta
desempregado,vive,pesadelo
desempregado venezuelanos,ocupar,prédio público abandonado
desemprego,ainda estar haver,dificuldade realizar
desemprego,alcançar,"13,23 milhões de pessoa número elevado de último 5 ano"
desemprego,aumentar não conseguir retomar,crescimento econômico
desemprego,continuar conseguir,emprego
desemprego,estar não ter,cenário econômico positivo
desemprego,subir atingir,"13,1 milhões de pessoa"
desenhista,hoje bater fala lançar amanhã pegar,ponte aéreo
desenho,retratar,pessoa real de síria
desenho de desenhar em computador,ajudar,votação
desenho de luís felipe,receber,aval de júri
desenho de tattoo malfeitono,ter além,influência em cultura nerd
desenho final de unidade,porém deixar,maior parte de água costeiro
desenho impróprio,furar,controle
desenrolar de apuração,contudo mudar,cenário
desenvolvedor desses site,ter,papel importante
desenvolvedor paolo pedercini,propor,reflexão sobre condição desumano
desenvolvedor treyarch uma de três,divulgar,primeiro detalhe de game
desenvolvimento cerebral em começo de vida,afetar,saúde físico
desenvolvimento de contraceptivo,ter,lado conhecido teste clínico ético
desenvolvimento de doença,ser não ter inicialmente,sintoma
desenvolvimento de míssil balístico por parte de coreia de norte,ameaçar,mundo todo
desenvolvimento de novo droga,pretender diminuir,reação adverso
deserto,como cria,precipitação
deserto,enviar junto,22 mil tonelada de fósforo nutriente
deserto de norte de áfrica,ter,relação estreito
deserção de soldado norte coreano em 13 de novembro,ganhar,primeiro página de jornal local
desespero,foi não saber ter,medo rejeitar
desfecho de júri,gerar,alívio
desfile,custar,"r$ 787,5 mil"
desfile,incluir além,cantiga de capoeira
desfile,não ter,apoio
desfile,reunir,200 mil pessoa
desfile,ter,participação de estudante
desfile,ter,transmissão a vivo
desfile comemorativo,marcar,54 ano de emancipação de votorantim
desfile de 7 de setembro,bloquer,avenida de porto alegre
desfile de 7 de setembro,levar,20 mil
desfile de 7 de setembro em porto alegre nesta quinta feira,ter,bloqueio
desfile de dragão,fechar,apresentação de grupo especial de carnaval de são paulo
desfile de sete de setembro,causar,interdição
desfile de sete de setembro em curitiba,interditar,rua próximo a bairro centro cívico
desfile novo talento de moda alagoano,desfilir,criador alagoano
desgastado mdb fluminense,perder,deputado
desgaste,colocar,pressão
desgaste deste processo,enfraquecer,base governista
desgovernador de são paulo,passar,vergonha
design recente,parecer produzir,tempo rápido
designer,carregar,livro
designer,explicar,escolha
designer,já planejar,350 suíte curioso
designer,receber,missão repaginar em sobradinho
designer,também criar,aposento
designers de ford,já usar,óculos de realidade aumentado de microsoft
desigualdade econômico,dar,combustível para polarização em política
desigualdade salarial,não bastar haver ainda,maternidade
desintegração de união soviético,deixar,cicatriz profundo
desirée,dividir,pedra
desirée,era internar presa,11
desirée,rapidamente destacar liderar,equipe de confeitaria de local
desirée,ter,r$ 5
desistência,render,r$ 1 bilhão correspondente a participação societário em empresa a época
deslizamento de barreira,bloquer,avenida brás leme
deslizamento de terra,soterrar,centena de casa
deslizamento de terra a 18h30,interditar,pista de subida de serra de oswaldo cruz
deslocamento de frente frio,adiantar,chegada
deslocamento de lula para país,retardar afrontar obstar,ação penal em curso
desmatamento,destruir,floresta tropical
desmembramento de denúncia,segue,recomendação de procuradoria geral de república pgr
desmembramento de feito,causar,enorme transtorno
desmembramento de feito,causar requerer,arquivamento de presente petição
desmentido,dar,visibilidade
desmontagem temporário,gerar,custo alto
desmontagem temporário,gerar,grupo
desmonte,reduzir,ritmo de investigação
desmoronamento,além deixar,rastro de destruição com rocha gigante em caminho aberto a força por água
desobediência a ordem juridico,significar precisamente,instabilização de ordem jurídico
desocupação,ainda atingir,13 milhões de brasileiro
desordem,não confundir,informação
despachante,depois voltar atrás desmentir,declaração
despacho de 13 vara de fazenda público,suspender,efeito de decreto municipal
despacho de fachin,representar,uma derrota
despacho de fachin,trazer,argumento
despacho de tribunal de justiça,afastar,absolvição liminar
despeitado último áudio de jovem morto em réveillon,fazer,post
despesa,avançar,r$ 60 bilhões
despesa,precisar alcançar,70 %
despesa,somar,"r$ 1,308 trilhão"
despesa,subam acima não ter,condição bloquear
despesa,superar,arrecadação com imposto em r$ 139 bilhões em 2017
despesa,superar,receita
despesa,ter,regra fixo
despesa,totalizar,"r$ 45,8 milhões"
despesa de governo,superar,receita com imposto
despesa de governo,superar,"receita com imposto em r$ 108,53 bilhões"
despesa de governo com inss,crescer,"r$ 42,5 bilhões"
despesa de pessoal,alcançar,"r$ 22,4 bilhões"
despesa de plano privado de saúde,ultrapassar acima,"r$ 396,4 bilhões anual 250 %"
despesa de sistema único de saúde sus com assistência ambulatorial,atingir,magnitude de r$ 115 bilhões a ano
despesa de um ano para outro,demonstrar,aprofundamento de engessamento de despesa
despesa obrigatório,consumir hoje precisar ter,coragem enfrentar
despesa previdenciárias,concentrar,"22,9 % de gasto"
despesa público,crescer,equivalente a resultado de ipca de último 12 mês até junho
despesa total,crescer respectivamente,"11,06 %"
despesa total,já não apresentar,variação em termo real
despesa total,registrar,"alta real menor de 1,6 %"
despesa total,registrar,"queda real de 0,6 % para r$ 97,472 bilhões"
despesa total com previdência,comprometer,despesa governamental
despesa total de secretaria municipal de saúde sms em ano passado,totalizar,"r$ 10,6 bilhões"
desqualificado,representar,escória
destacamento de combatente de estado islâmico,promover ontem,ataque de londres
destacamento militar,ocupar,sede de emissora nacional
destaque,ainda alterar,texto
destaque,foram,participação de farrell
destaque,receber,grupo molejo
destaque,retirar,projeto
destaque,ter,objetivo eliminar de texto
destaque a cartório de maior centro urbano,esconder,duro realidade
destaque de classificação de corinthians para final de campeonato paulista,negar pegar garantir,equipe
destaque em jogo treino jovem rodrygo,festejar,experiência incrível
destinatário,então pleitear,direito
destino,colocar,tempestade
destino,ter,estrutura
destino,trazer,bebê recém nascido
destino de movimento,ser apontar,hipótese entre elas nascimento de novo partido
destino de nação foto,abordar,bastidor de momento
destino de otto,aprofundar,determinação de administração prevenir
destino de via,gerar,polêmica
destino internacional,liderar comemorar,aumento em procura por pacote
destituição de juiz de escândalo de odebrecht,agravar,crise
destituição de mnangagwa,fazer,favorito para sucessão de marido
destituição em semana anterior de vice presidente emmerson mnangangwa,indicar sofrer,expurgo
destroço,contar,história
destroço,percorrer,br-101
destruição de habitat natural de espécie,além reduzir,predador natural de mosquito
desvio,beneficiar,empresário preso
desvio,direcionar,veículo
desvio,envolver,fraude em pagamento indevido de honorário advocatício a maria zuely
desvio,ter,pagamento de pensão
desvio de dinheiro para pagamento de propina,trazer,prejuízo para motorista
desvio de terra,apreender,4 mil 500 m³ de madeira
desvio em ribeirão,formar,m de maior escândalo de corrupção em prefeitura
detalhe,causar,estranheza
detalhe,chamar,atenção de polícia
detalhe,chamar,especial atenção
detalhe de acordo,estar não haver,garantia fechar
detalhe de cenografia,simular,floresta lúdico
detalhe em episódio,sauxer,novidade
detecção radar em região de país,não conseguir detectar,aeronave
detenta,colocar,fogo
detenta,reduzir,tempo de pena
detenta de penitenciária feminino único unidade prisional,contrair,impetigo doença
detentar grávida,ganhar deixar,penitenciário
detentas,conseguir hoje ler responder transportar alimentar,esperança de dia melhor
detentas em regime provisório,aguardar,julgamento
detento,ameaçar invadir,pavilhão 2
detento,aparentar consumir,droga
detento,atear tomar,arma de agente
detento,colocar destruir,dois de três pavilhão de prédio histórico
detento,deixar,hospital
detento,estender,faixa com sigla de primeiro comando de capital pcc
detento,fazer,visitantes refém
detento,improvisar pular,muro de fundos de penitenciária
detento,invadir,ala rival
detento,não receber,benefício de saída temporário para dia de pais acre
detento,não ter,filho
detento,onde ter,acesso a serviço de assistência a saúde
detento,planejar,fuga em massa
detento,planejar emitir,notificação recomendatório
detento,precisar assinar,alvará de soltura
detento,reivindicar,melhor condição de instalação
detento,só ter,10 % de salário mínimo
detento,também fazer,retaliação
detento,tentar ultrapassar,área de segurança
detento,ter,direito a uma ligação de 10 minuto por mês
detento,ter,direito trabalhar
detento,transformar,rotina
detento de pará,fazer,greve de fome
detento de regime domiciliar,utilizar,tornozeleira eletrônico
detento de regime semiaberto,fazer,rebelião
detento de regime semiaberto,usar,tornozeleira eletrônico
detento johnnathan granja lopes de 26 ano,cumprir,pena por homicídio
detento morto,deixar recentemente criar,facção
detento sentado,levar,choque
detentor de mandato eletivo,assim ter,direito a percepçã de 13°
detentor de mandato eletivo por tempo caso de senador,receber,auxílio moradia
detenção de puigdemont,provocar,grande manifestação de independentista
determinação de arquivamento de inquérito por ministra roso weber,colocar,fim
determinação de juiz ricardo leite de apreensão de passaporte,não ter,relação direto com condenação de lula por trf-4
determinação de juiz ricardo leite de apreensão de passaporte,não ter,relação direto com condenação de lula por trf-4 em semana passado
determinação de prisão,aguardar,julgamento de novo embargos.
determinação de stf,não extinguir sentenciar,caso
determinação de trump,transgredir,constituição
determinação dramático,suspender barrar indefinidamente suspender,entrada em estado unido de cidadão com visto de sete país por 90 dia
detetive belga hercule poirot kenneth branagh,precisar resolver,sinistro caso
detetive de interpol,dar,recompensa em dinheiro
detetives,encontrar,passaporte com frase eua esperar
detido,comprar,fazenda
detido,ter,idade variado de 19 a 60 ano
detido por terrorismo islâmico em prisão espanhol,ultrapassar,número de preso de eta organização terrorista basco
detido vitor josé melo carneiro de 22 ano,confessar,crime
detran,confirmar,irregularidade
detran,contabilizar ainda,25 placa de trânsito danificado
detran,fazer,pedido para atleta
detran,prometer,novo mudança
detran,prometer fazer,uma alteração em trânsito
detran,quando alterar,sentido de rua 36
detran,reproduzir,imagem de meia de brasil
detran de amazona por exemplo,ter,vaga aberto
detran gaúcho,oficiar,denatran
detran pr,leiloar,250 veículo
detran- rj,quando terceirizar,serviço
detran-r,pedir,extensão de prazo
detran-rj,fazer,atendimento noturno
