# generator = UDPipe 2, https://lindat.mff.cuni.cz/services/udpipe
# udpipe_model = portuguese-gsd-ud-2.10-220711
# udpipe_model_licence = CC BY-NC-SA
# newdoc
# newpar
# sent_id = 1
# text = existe uma especie de corrida entre a justica e o congresso para ver quem engana o distinto publico primeiro o senado ja aprovou uma versao da reducao do foro privilegiado que passou pela ccj da camara nela ha penduricalhos suspeitos como o que tira o foro de muita gente sao mais de 54 mil privilegiados mas o estende a expresidentes como e lula e em 2019 sera temer outra excrescencia e a que libera presidente da republica para matar e roubar isso e uma peculiaridade brasileira que tira todo o sentido da providencia afinal as grandes democracias do mundo nao conhecem essa jabuticaba e ela precisa ser extinta de uma vez e de um golpe so o resto e a disputa de deputados e ministros supremos para ver quem serve mais e melhor os senhores do poder comentario do jornal eldorado da radio eldorado fm 1073 na sexta 24 de novembro de 2017 as 7h30m para ouvir clique aqui e em seguida no play para ouvir daqui nao saio com vocalistas tropicais clique aqui abaixo a integra da degravacao do comentario eldorado 24 de novembro de 2017 sextafeira a maioria dos ministros do supremo tribunal federal stf decidiu ontem limitar o alcance do foro privilegiado de deputados federais e senadores ate que enfim o judiciario atendeu ao clamor popular pela garantia da igualdade de todos perante a lei o julgamento foi suspenso por um pedido de vista de dias toffoli mas pelo entendimento de 7 dos 11 ministros somente deverao tramitar na corte processos de crimes cometidos no exercicio do mandato e relacionados ao cargo em reacao a camara vai acelerar a tramitacao de uma proposta de emenda a constituicao pec para restringir tambem o foro de integrantes do judiciario e do ministerio publico o unico ate agora a votar a favor do foro privilegiado foi o ministro alexandre de moraes depois de ter pedido vista para ganhar tempo sonora 2411 moraes
1	existe	existir	VERB	VERB	_	0	root	_	TokenRange=0:6
308	para	_	ADP	ADP	_	309	mark	_	TokenRange=1601:1605
309	restringir	restringir	VERB	VERB	_	297	advcl	_	TokenRange=1606:1616
310	tambem	tambem	ADV	ADV	_	309	advmod	_	TokenRange=1617:1623
311	o	o	DET	DET	_	312	det	_	TokenRange=1624:1625
312	foro	foro	NOUN	NOUN	_	309	obj	_	TokenRange=1626:1630
313	de	de	ADP	ADP	_	314	case	_	TokenRange=1631:1633
314	integrantes	_	NOUN	NOUN	_	312	nmod	_	TokenRange=1634:1645
315-316	do	_	_	_	_	_	_	_	TokenRange=1646:1648
315	de	de	ADP	ADP	_	317	case	_	_
316	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	317	det	_	_
317	judiciario	judiciario	NOUN	NOUN	_	314	nmod	_	TokenRange=1649:1659
318	e	e	CCONJ	CONJ	_	321	cc	_	TokenRange=1660:1661
319-320	do	_	_	_	_	_	_	_	TokenRange=1662:1664
319	de	de	ADP	ADP	_	321	case	_	_
320	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	321	det	_	_
321	ministerio	ministerio	NOUN	NOUN	_	317	conj	_	TokenRange=1665:1675
322	publico	publico	ADJ	ADJ	_	321	amod	_	TokenRange=1676:1683
323	o	o	DET	DET	_	324	det	_	TokenRange=1684:1685
324	unico	unico	NOUN	NOUN	_	297	nsubj	_	TokenRange=1686:1691
325	ate	_	ADP	ADP	_	326	mark	_	TokenRange=1692:1695
326	agora	agora	ADV	ADV	_	324	nmod	_	TokenRange=1696:1701
327	a	_	ADP	ADP	_	328	mark	_	TokenRange=1702:1703
328	votar	votar	VERB	VERB	_	324	nmod	_	TokenRange=1704:1709
329	a	_	ADP	ADP	_	330	case	_	TokenRange=1710:1711
330	favor	favor	NOUN	NOUN	_	328	nmod	_	TokenRange=1712:1717
331-332	do	_	_	_	_	_	_	_	TokenRange=1718:1720
331	de	de	ADP	ADP	_	333	case	_	_
332	o	o	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	333	det	_	_
333	foro	foro	NOUN	NOUN	_	330	nmod	_	TokenRange=1721:1725
334	privilegiado	privilegiado	ADJ	ADJ	_	333	amod	_	TokenRange=1726:1738
335	foi	_	AUX	AUX	_	337	cop	_	TokenRange=1739:1742
336	o	o	DET	DET	_	337	det	_	TokenRange=1743:1744
337	ministro	ministro	NOUN	NOUN	_	297	parataxis	_	TokenRange=1745:1753
338	alexandre	alexandre	NOUN	NOUN	_	337	appos	_	TokenRange=1754:1763
339	de	de	ADP	ADP	_	340	case	_	TokenRange=1764:1766
340	moraes	morae	NOUN	NOUN	_	338	nmod	_	TokenRange=1767:1773
341	depois	depois	ADV	ADV	_	344	mark	_	TokenRange=1774:1780
342	de	_	ADP	ADP	_	341	fixed	_	TokenRange=1781:1783
343	ter	ter	AUX	AUX	_	344	aux	_	TokenRange=1784:1787
344	pedido	pedir	VERB	VERB	_	337	advcl	_	TokenRange=1788:1794
345	vista	vista	NOUN	NOUN	_	344	obj	_	TokenRange=1795:1800
346	para	_	ADP	ADP	_	347	mark	_	TokenRange=1801:1805
347	ganhar	ganhar	VERB	VERB	_	344	advcl	_	TokenRange=1806:1812
348	tempo	tempo	NOUN	NOUN	_	347	obj	_	TokenRange=1813:1818
349	sonora	sonoro	ADJ	ADJ	_	348	amod	_	TokenRange=1819:1825
350	2411	_	NUM	NUM	NumType=Card	351	nummod	_	TokenRange=1826:1830
351	moraes	morae	NOUN	NOUN	_	347	obj	_	SpacesAfter=\s\s|TokenRange=1831:1837

